video_id,channelId,title,video_id,liveBroadcastContent,definition,dimension,duration,relevantTopicIds
2kyS6SvSYSE,UCtinbF-Q-fVthA0qrFQTgXQ,WE WANT TO TALK ABOUT OUR MARRIAGE,2kyS6SvSYSE,none,hd,2d,PT11M18S,"['/m/019_rr', '/m/019_rr']"
1ZAPwfrtAFY,UC3XTzVzaHQEd30rQbuvCtTQ,The Trump Presidency: Last Week Tonight with John Oliver (HBO),1ZAPwfrtAFY,none,hd,2d,PT23M51S,"['/m/0f2f9', '/m/09kqc', '/m/02jjt', '/m/02jjt', '/m/09kqc', '/m/0f2f9']"
5qpjK5DgCt4,UC5jkXpfnBhlDjqh0ir5FsIQ,"Racist Superman | Rudy Mancuso, King Bach & Lele Pons",5qpjK5DgCt4,none,hd,2d,PT9M29S,"['/m/02jjt', '/m/02jjt']"
puqaWrEC7tY,UC4PooiX37Pld1T8J5SYT-SQ,Nickelback Lyrics: Real or Fake?,puqaWrEC7tY,none,hd,2d,PT7M10S,"['/m/04rlf', '/m/04rlf']"
d380meD0W0M,UCSAUGyc_xA8uYzaIVG6MESQ,I Dare You: GOING BALD!?,d380meD0W0M,none,hd,2d,PT12M13S,"['/m/02jjt', '/m/02jjt']"
gHZ1Qz0KiKM,UCey_c7U86mJGz1VJWH5CYPA,,,none,hd,2d,PT13M53S,"['/m/019_rr', '/m/07c1v', '/m/019_rr', '/m/07c1v']"
39idVpFF7NQ,UCqFzWxSCi39LnW1JKFR3efg,,,none,hd,2d,PT4M42S,"['/m/0f2f9', '/m/02jjt', '/m/09kqc', '/m/02jjt', '/m/09kqc', '/m/0f2f9']"
nc99ccSXST0,UCe_vXdMrHHseZ_esYUskSBw,,,none,hd,2d,PT10M8S,"['/m/02wbm', '/m/068hy', '/m/019_rr', '/m/019_rr', '/m/02wbm', '/m/068hy']"
jr9QtXwC9vc,UC2-BeLxzUBSs0uSrmzWhJuQ,,,none,hd,2d,PT2M29S,"['/m/02vxn', '/m/05qjc', '/m/02jjt', '/m/02jjt', '/m/05qjc', '/m/02vxn']"
TUmyygCMMGA,UCLXo7UDZvByw2ixzpQCufnA,,,none,hd,2d,PT9M3S,"['/m/098wr', '/m/098wr']"
9wRQljFNDW8,UCDVYQ4Zhbm3S2dlz7P1GBDg,,,none,hd,2d,PT1M16S,"['/m/0jm_', '/m/06ntj', '/m/06ntj', '/m/0jm_']"
VifQlJit6A0,UCmWyesNAlftV3kJlFhD6q6w,,,none,hd,2d,PT1M49S,"['/m/02jjt', '/m/0f2f9', '/m/02jjt', '/m/0f2f9']"
5E4ZBSInqUU,UCEdvpU2pFRCVqU6yIPyTpMQ,,,none,hd,2d,PT3M27S,"['/m/04rlf', '/m/04rlf']"
GgVmn66oK_A,UCgRvm1yLFoaQKhmaTqXk9SA,,,none,hd,2d,PT4M29S,"['/m/098wr', '/m/098wr']"
TaTleo4cOs8,UCM9oZkV3tGJuUUhgZaiGZkQ,,,none,hd,2d,PT12M23S,
kgaO45SyaO4,UC7vVhkEfw4nOGp8TyDk7RcQ,,,none,hd,2d,PT25S,
ZAQs-ctOqXQ,UCjD2KyAEm84yVH8cTilID7Q,,,none,hd,2d,PT2M19S,"['/m/025zzc', '/m/0bzvm2', '/m/0bzvm2', '/m/025zzc']"
YVfyYrEmzgM,UCsooa4yRKGN_zEE8iknghZA,,,none,hd,2d,PT4M34S,
eNSN6qet1kE,UC7yF9tV4xWEMZkel7q8La_w,,,none,hd,2d,PT13M43S,"['/m/019_rr', '/m/03glg', '/m/07yv9', '/m/019_rr', '/m/03glg', '/m/07yv9']"
B5HORANmzHw,UCZYTClx2T1of7BRZ86-8fow,,,none,hd,2d,PT5M18S,"['/m/098wr', '/m/098wr']"
vU14JY3x81A,UCpJmBQ8iNHXeQ7jQWDyGe3A,,,none,hd,2d,PT3M47S,['/m/025zzc']
6VhU_T463sU,UCiDJtJKMICpb9B1qf7qjEOA,,,none,hd,2d,PT5M5S,"['/m/02jjt', '/m/02jjt']"
_-aDHxoblr4,UCBa659QWEk1AI4Tg--mrJ2A,,,none,hd,2d,PT4M27S,"['/m/07yv9', '/m/019_rr', '/m/019_rr', '/m/07yv9']"
JBZTZZAcFTw,UCsZsDjpf2Ppv_cT2K6_q2cw,,,none,hd,2d,PT6M,"['/m/019_rr', '/m/03glg', '/m/019_rr', '/m/03glg']"
lZ68j2J_GOM,UCpIafFPGutTAKOBHMtGen7g,,,none,hd,2d,PT2M36S,"['/m/019_rr', '/m/019_rr']"
dRpNZV18N_g,UCY1Yc3xA1aY0lqnKUTDTi7A,,,none,hd,2d,PT8M29S,"['/m/02wbm', '/m/019_rr', '/m/019_rr', '/m/02wbm']"
fcVjitaM3LY,UCoxcjq-8xIDTYp3uz647V5A,,,none,hd,2d,PT8M40S,"['/m/01k8wb', '/m/01k8wb']"
qeWvgZLz9yU,UCWFKCr40YwOZQx8FHU_ZqqQ,,,none,hd,2d,PT5M52S,"['/m/019_rr', '/m/07c1v', '/m/019_rr', '/m/07c1v']"
iIxy3JN3-jc,UCqtAJBbMzm3zY1n1TAQCvXQ,,,none,hd,2d,PT4M39S,"['/m/018w8', '/m/06ntj', '/m/06ntj', '/m/018w8']"
